id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3218564,Casino Lodging “Country Acres” Parkland Florida,16295826,Barbara,,Parkland,26.29435,-80.22115,Entire home/apt,110,1,69,2022-03-31,0.69,1,260,1,
366178,TROPICAL GUEST HOUSE - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12588,-80.13675,Entire home/apt,125,7,24,2022-10-30,0.19,2,271,1,
1305586,Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Lawrence,,Hollywood,25.99211,-80.11724,Entire home/apt,130,29,6,2021-12-20,0.06,2,263,0,
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00831,-80.11583,Entire home/apt,150,90,11,2019-04-01,0.08,1,268,0,
393982,Charming Comfort... Ft Lauderdale Home,1848829,Shirley,,Fort Lauderdale,26.12575,-80.13523,Entire home/apt,125,7,24,2022-05-08,0.19,2,301,4,
3410222,Eco friendly paradise near Airport/Port/Beaches!,17044377,James,,Dania Beach,26.06644,-80.19701,Private room,93,10,76,2021-09-11,1.42,2,0,0,
1312899,SANITIZED 2 BEDROOMS APT  SAWGRASS MALL,6204254,Florida Trend,,Plantation,26.12323,-80.32615,Entire home/apt,140,28,76,2022-08-27,0.68,5,302,2,
3410784,Beautiful 2 bed condo by the ocean,14055439,Maria,,Lauderdale By The Sea,26.21318,-80.09282,Entire home/apt,180,90,1,2015-04-01,0.01,1,271,0,
436596,Beautiful Water Front House w/ Pool,2168585,Lou,,Pompano Beach,26.21706,-80.12132,Entire home/apt,385,7,2,2015-01-06,0.02,1,285,0,
1326340,VILLAS HOLLYWOOD BEACH FL,7198092,Joseph,,Hollywood,26.01673,-80.11708,Entire home/apt,211,30,0,,,2,0,0,
438860,1 bedroom - Condo on the Beach,1889394,Juan,,Fort Lauderdale,26.17716,-80.09776,Entire home/apt,157,3,136,2022-12-18,1.08,1,255,19,
3441997,Great Florida Vacation,2402257,Varvara,,Deerfield Beach,26.31435,-80.09704,Entire home/apt,125,5,86,2020-07-28,0.88,1,0,0,
1375343,Small House for two,1304156,Nicolas,,Hollywood,26.02567,-80.14201,Entire home/apt,106,2,193,2022-12-09,1.88,4,328,31,
3495878,Located in the QClub Ft Lauderdale Bch Rsrt (1911),5397550,Sunshine,,Fort Lauderdale,26.12937,-80.10438,Entire home/apt,300,1,62,2021-04-29,0.63,5,336,0,
1376873,Beautiful Boutique Beach Condo,7459306,Rachelle,,Hollywood,26.02369,-80.11542,Entire home/apt,225,3,34,2022-07-30,0.40,1,243,11,
3525059,Beautiful Beach Waterfront Dockage,17751258,Eileen,,Fort Lauderdale,26.13603,-80.10571,Entire home/apt,200,90,2,2022-09-30,0.03,1,245,1,
439914,30days to 360days,2185056,Maria,,Lauderhill,26.17582,-80.23224,Entire home/apt,85,360,1,2012-11-01,0.01,1,0,0,
1408900,"2/2 SLEEP 6, MARY POP APARTMENTS, LAST MINUTE OK",454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,124,7,35,2021-06-18,0.33,8,30,0,
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99377,-80.1183,Entire home/apt,297,7,27,2021-03-19,0.21,6,351,0,
3528081,The Royal Palm Villa - Waterfront,17762583,Lennart,,Fort Lauderdale,26.1235,-80.11754,Entire home/apt,550,3,54,2022-11-06,0.57,1,96,6,
1515533,Fort Lauderdale Cottage Oasis,8092157,Mike,,Fort Lauderdale,26.12414,-80.13276,Entire home/apt,205,6,79,2021-05-07,0.72,1,273,0,
3530463,LakeFront - Near Hard Rock Casino w private pool,17773902,Beatriz,,Davie,26.072,-80.25828,Entire home/apt,365,4,120,2022-12-22,1.21,1,120,19,
533847,"Private, Tranquil & Beautiful Suite",1585064,Deborah,,Miramar,25.98779,-80.3169,Private room,65,180,46,2022-04-30,0.37,2,113,1,
592583,Ocean Front Condo! Central Fort Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13621,-80.10403,Entire home/apt,499,2,25,2022-03-19,0.20,13,21,3,
1548483,"""Welcome home on Hallandale Beach""",8250407,Shane,,Hallandale Beach,25.99658,-80.12197,Entire home/apt,222,3,41,2020-02-01,0.37,1,3,0,
624127,Sunny Bedroom -,3096101,Jan,,Pembroke Pines,26.00656,-80.25355,Private room,40,2,26,2021-09-11,0.24,1,31,0,
658344,Ocean Front Condo | Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13804,-80.10532,Entire home/apt,499,2,23,2022-04-07,0.18,13,7,3,
3552489,Cozy 3-bedroom Retreat with Private Master Suite,14191888,Zachary,,Fort Lauderdale,26.13506,-80.12527,Entire home/apt,416,2,33,2022-12-05,2.71,13,115,33,
1559232,Luxury Beach House steps from the ocean,8298928,Craig,,Hollywood,26.048735,-80.113045,Entire home/apt,549,4,27,2022-11-11,0.24,1,271,9,
3553435,Private Master with Private Bath  (w/ Pool Access),11553282,Lorraine & Greg,,Pompano Beach,26.2113,-80.11822,Private room,70,1,596,2022-12-21,5.85,5,346,66,
1602075,Gorgeous Deerfield Home with Heated Pool,1976255,Svetlana,,Deerfield Beach,26.32091,-80.09154,Entire home/apt,264,4,104,2022-08-31,0.94,1,297,8,
3592530,Spectacular Golf View Condo & Pool,18097986,Ursula,,Hollywood,26.00059,-80.13285,Entire home/apt,79,1,7,2022-10-05,0.07,1,361,1,
680331,"Oceanfront Condo in Hollywood, FL",3463815,Nelson,,Hallandale Beach,25.98637,-80.11867,Entire home/apt,159,2,26,2022-07-31,0.23,2,319,14,
1646485,Amazing location across the beach!,8737341,France,,Pompano Beach,26.22763,-80.08991,Entire home/apt,781,7,6,2021-11-27,0.06,1,290,0,
695109,Professionally Cleaned Central Beachside Location!,1770887,Chris,,Fort Lauderdale,26.13648,-80.10606,Entire home/apt,429,2,22,2022-03-04,0.18,13,14,1,
3661981,One-Bedroom Two Queens Suite at Tara Hotel,14324932,North Beach Village,,Fort Lauderdale,26.13113,-80.10795,Entire home/apt,253,1,59,2022-01-31,0.58,14,241,1,
1658551,Piso 6T - Modern  Apartment on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,214,4,27,2022-12-24,0.25,9,8,7,
3718508,Beautiful Hollywood Beach home with heated pool!,18987173,Erica,,Hollywood,26.01283,-80.12256,Entire home/apt,513,4,114,2022-11-15,2.20,1,260,24,
695242,Beachside condo - Central Ft Lauderdale Beach!,1770887,Chris,,Fort Lauderdale,26.13748,-80.10556,Entire home/apt,429,2,37,2022-04-16,0.30,13,14,2,
1682792,"COMPACT STUDIO, PRETTY, COZY,  STEPS TO BEACH",231429,Sonia,,Hollywood,26.02816,-80.11484,Entire home/apt,75,3,105,2022-12-06,0.95,1,231,14,
716990,Beautiful house Central Ft. Lauderdale!,3696537,David & Sindy,,Fort Lauderdale,26.14232,-80.12738,Entire home/apt,550,20,210,2018-03-18,1.70,1,119,0,
3783599,Sunny Place at Deerfield Beach,2350629,Franco,,Deerfield Beach,26.29798,-80.08901,Private room,50,2,103,2022-10-25,2.04,1,2,12,
1744871,Oceanfront condo in Fort Lauderdale,42693534,Sandra,,Lauderdale By The Sea,26.21254,-80.09187,Entire home/apt,130,7,68,2022-11-01,0.61,1,247,5,
3792462,Luxury Private room/Private Bath- Mirmar FL,19471032,Alberto,,Miramar,25.97941,-80.27404,Private room,65,7,0,,,4,359,0,
722515,"Decadent Oasis - hot tub, pool and billiards",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,595,3,259,2022-12-05,2.10,10,0,37,
1750221,3BDR-2BA Home in quiet neighborhood,9207908,Lee,,North Lauderdale,26.21703,-80.22507,Private room,45,1,2,2021-05-23,0.06,1,362,0,
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,360,3,61,2022-11-30,0.50,1,272,11,
3851474,Hallandale beach. Excelente apartamento na praia,19196941,Teofilo,,Hollywood,25.98791,-80.11904,Entire home/apt,160,4,19,2022-10-31,0.39,1,3,9,
3938247,"""The Broadwalk"" = 1/1 on Hlwd Beach",6509464,Rich,,Hollywood,26.0178,-80.11688,Private room,148,5,39,2022-09-25,0.40,5,342,6,
1773712,Tropical Pool Home and Pavilion,9315425,Mark,,Plantation,26.10882,-80.21644,Entire home/apt,319,3,122,2022-12-23,1.11,1,276,16,
4010331,4Palms Guestroom in private  home,20793680,James,,Dania Beach,26.05441,-80.14241,Private room,54,1,77,2019-12-11,0.78,1,236,0,
813346,2 month Lease on Deerfield Beach,4274008,Nathan,,Deerfield Beach,26.30933,-80.07735,Private room,300,60,0,,,1,365,0,
1796704,NEW 2 BED APARTMENT  SAWGRASS MALL,6204254,Florida Trend,,Plantation,26.12808,-80.3167,Entire home/apt,125,21,31,2018-11-17,0.28,5,0,0,
817635,Deerfield BeachTownhouse 2bedrm 2bath spring dates,4168960,Ike,,Deerfield Beach,26.32085,-80.14409,Entire home/apt,118,7,27,2022-05-28,0.23,1,253,3,
844392,OCEANFRONT ON THE BEACH 4 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98623,-80.1194,Entire home/apt,195,5,7,2018-03-17,0.06,40,169,0,
4033013,Make Yourself at Home,7259492,Alda,,Miramar,25.98763,-80.31558,Private room,82,5,14,2022-11-25,0.15,2,361,7,
4064679,2BR Beachside Condo in Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13702,-80.104,Entire home/apt,315,2,8,2022-04-01,0.11,13,26,2,
1819422,Villa-Coral-Ridge-Fort Lauderdale,9526715,Jean Yves,,Fort Lauderdale,26.20035,-80.12661,Entire home/apt,771,2,29,2022-09-21,0.30,1,66,2,
4084768,Home away from Home,11068214,Ronald,,Hollywood,25.98762,-80.11921,Entire home/apt,180,7,33,2022-04-09,0.35,6,0,1,
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,102,2021-06-26,0.85,8,0,0,
1856146,Cozy Seaward Shores! Walk to Beach & Beach Club!,9443719,Ida Annika,,Lauderdale By The Sea,26.21876,-80.09492,Entire home/apt,656,7,13,2022-08-07,0.13,12,278,5,
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02558,-80.14704,Entire home/apt,78,30,17,2022-08-26,0.34,1,264,4,
4097680,"Gorgeous 1 Bedroom, Like New !!",12878437,Vicky,,Hollywood,25.98677,-80.11904,Entire home/apt,163,5,12,2021-02-28,0.14,10,284,0,
4097752,amazing.. Directly access to the beach!!,12878437,Vicky,,Hollywood,25.98695,-80.11958,Entire home/apt,350,1,19,2022-08-12,0.23,10,292,7,
1858886,4BR Waterfront Home w/pool - Tropic Tiki Villa!,9443719,Ida Annika,,Pompano Beach,26.21185,-80.10533,Entire home/apt,999,2,18,2022-05-08,0.18,12,274,2,
4104891,4 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02391,-80.11504,Entire home/apt,126,3,71,2022-05-09,0.72,4,272,2,
916342,1/1 Mary Pop Apartments #202,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,100,7,21,2022-03-13,0.20,8,21,1,
1865860,Comfy Studio in Quiet Neighborhood,2692728,Vera,,Oakland Park,26.172754287719727,-80.15001678466797,Entire home/apt,106,3,489,2022-11-21,4.40,3,86,25,
998144,OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH  2TH FL,2001930,Dmitri,,Hallandale Beach,25.98643,-80.11813,Entire home/apt,234,7,8,2022-04-30,0.08,40,57,3,
4121107,Historic Getaway near everything in Downtown FTL,4636007,Jesus,,Fort Lauderdale,26.11972,-80.15277,Entire home/apt,150,4,9,2022-05-08,0.75,1,326,9,
1871833,"Beautiful, Two Story Home",9754289,Patrick,,Deerfield Beach,26.28459,-80.14557,Private room,79,5,31,2016-09-01,0.28,1,271,0,
4196774,GORGEOUS OCEANFRONT PENTHOUSE,21771375,Luis,,Hollywood,26.0151,-80.11629,Entire home/apt,146,90,5,2022-06-04,0.05,1,358,2,
1002995,Master bedroom at Fort lauderdale Golf Court view,5514632,Tony,,Tamarac,26.17976,-80.22598,Private room,39,1,21,2019-11-22,0.20,12,133,0,
1038248,Mins from Everywhere-Private 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01895,-80.25821,Entire home/apt,295,7,23,2022-09-10,0.20,1,182,6,
1876292,3 bdrm 2 bath heated pool tropical home near beach,9774075,Joe,,Deerfield Beach,26.30344,-80.08797,Entire home/apt,519,3,15,2022-03-26,0.14,1,244,4,
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21588,-80.22835,Private room,49,1,14,2017-03-25,0.15,12,86,0,
4241389,"Marriott's BeachPlace Towers - Fort Lauderdale, FL",22008615,Sabrina,,Fort Lauderdale,26.12221,-80.10521,Entire home/apt,385,5,6,2021-01-02,0.08,3,0,0,
1901619,Waterfront home / pool near Miami,9873790,Suncove Villa,,Pompano Beach,26.218,-80.10078,Entire home/apt,449,7,50,2022-06-25,0.52,1,143,9,
4258380,"Across the beach, golf.  Pompano beach",22100178,Annic,,Pompano Beach,26.24916,-80.08823,Entire home/apt,90,6,43,2022-10-22,0.55,1,244,9,
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16034,Entire home/apt,249,1,139,2022-07-25,1.20,1,361,14,
1909627,W Residences 2 BR Apartment Ft. Lauderdale Beach!,1118365,Allen,,Fort Lauderdale,26.12802,-80.1039,Entire home/apt,962,2,47,2022-12-28,0.46,1,261,6,
1115250,Stay at Walrick of So Fla (BR1)!,6021015,Walter,,Wilton Manors,26.15727,-80.15172,Private room,139,1,130,2022-11-27,1.11,2,344,28,
4260965,MARRIOTT'S BEACHPLACE TOWERS 50% OFF 2BVILLA,22008615,Sabrina,,Fort Lauderdale,26.1228,-80.10474,Private room,159,5,2,2018-08-31,0.03,3,0,0,
1911406,The Cracker Shack Tiny House Fort Lauderdale,171749,Rob,,Fort Lauderdale,26.13293,-80.13682,Entire home/apt,180,30,18,2020-10-02,0.16,1,364,0,
1115473,Stay at Walrick of So Fla (BR2),6021015,Walter,,Wilton Manors,26.15898,-80.15189,Private room,121,1,82,2022-05-10,0.72,2,332,19,
1965226,5 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02607,-80.11466,Entire home/apt,153,3,107,2022-08-08,0.98,4,275,12,
4283746,One Bedroom beach home Hollywood,22238827,Veronika,,Hollywood,26.02306,-80.1155,Hotel room,355,1,2,2022-04-03,0.03,5,360,1,
4284986,Superior Standard Room,22238827,Veronika,,Hollywood,26.02215,-80.11744,Private room,158,1,73,2022-09-12,1.12,5,318,6,
1970524,"3 BED.2 BATH , PRIVATE POOL+PRIVACY",10175122,Francois,,Hollywood,26.03117,-80.21664,Entire home/apt,240,4,44,2021-09-20,0.40,1,324,0,
4288346,Wyndham resort - President's Day Week - 2/2,22264120,Steve,,Pompano Beach,26.24214,-80.0894,Entire home/apt,100,7,2,2019-02-15,0.04,1,0,0,
5006441,Quiet Pool Home - Walk to the Beach and Town!,6422630,Erik,,Lauderdale By The Sea,26.18605,-80.10291,Entire home/apt,400,7,58,2022-06-25,0.61,2,252,4,
1987335,Piso 5U- Amazing and Unique Apartment on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,214,4,41,2022-07-26,0.44,9,128,9,
5014677,Make Yourself at Home Two,7259492,Alda,,Miramar,25.98579,-80.31645,Private room,68,5,27,2022-12-09,0.29,2,301,3,
4294956,Vacation Home Rental,350312,Jaime,,Hollywood,26.01321,-80.15872,Entire home/apt,150,60,1,2018-03-18,0.02,2,365,0,
1989116,2 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02587,-80.11573,Entire home/apt,139,3,75,2022-05-31,0.69,4,271,4,
4295517,Vacation Apartment Rental,350312,Jaime,,Hollywood,26.01329,-80.15842,Entire home/apt,60,60,5,2022-09-28,0.06,2,297,1,
5030079,Best location in Pompano beach with chip and putt.,25965138,Dan,,Pompano Beach,26.24686,-80.08809,Entire home/apt,262,2,45,2022-10-28,0.65,9,341,17,
2011721,3 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.0259,-80.11646,Entire home/apt,126,3,114,2022-05-29,1.03,4,267,4,
4311927,"3bd house, pool, 1.3 miles to beach",19347509,Dinissa,,Deerfield Beach,26.30677,-80.08514,Entire home/apt,153,4,86,2022-12-12,0.87,1,208,8,
2022117,Furnished Room # 3 share bathroom,10392690,Pochita,,Pembroke Pines,26.02633,-80.23914,Private room,53,3,45,2022-09-30,0.41,3,278,4,
4315812,"Tropical Oasis, Luxury Surroundings",6270706,Daniel,,Hollywood,26.00751,-80.13427,Private room,540,20,0,,,1,365,0,
5065713,Spacious 3/3 Only  5 Minutes Away From Beach!!,26132558,Nikhil,,Hollywood,26.02401,-80.13897,Entire home/apt,321,2,41,2022-03-28,0.43,1,120,2,
5069031,My Beach Oasis - 4 Guests - Communal Pool,17469794,Valerie,,Hollywood,26.0227,-80.11582,Entire home/apt,118,1,13,2022-09-17,0.15,33,294,5,
2028061,"Modern, quaint, fully renovated",10416582,Shelly,,Tamarac,26.2276,-80.26648,Private room,49,3,25,2022-12-05,0.23,1,28,7,
5078835,Very nice 3+ Bedroom and 2 Bath Condo,14751091,Philip,,Deerfield Beach,26.32001,-80.1453,Entire home/apt,200,14,15,2022-11-02,0.18,4,50,3,
4321322,Fully furnished Condo,14751091,Philip,,Deerfield Beach,26.32029,-80.1455,Entire home/apt,169,28,23,2022-12-04,0.24,4,23,5,
2043616,Best of Hallandle Beach Vacation,10479761,Barry,,Hallandale Beach,25.9775,-80.12035,Entire home/apt,77,90,4,2022-04-01,0.04,1,240,1,
2052263,close to beach // modern interior // quiet area,3209220,Ulrike,,Fort Lauderdale,26.20005,-80.11473,Entire home/apt,180,7,57,2022-11-30,0.52,1,112,5,
4332945,Lauderdale BoatHouse w/Ocean Access,9688645,Kevin,,Dania Beach,26.06639,-80.1898,Entire home/apt,129,3,25,2022-10-02,0.26,2,258,2,
5089651,"1/2 block from beach 🏖 free WiFi, fitness center",26293939,Rebecca,,Pompano Beach,26.25612,-80.08843,Entire home/apt,159,1,211,2022-12-18,2.27,1,351,17,
5117254,super condo  on the beach Hollywood fl,26400007,Johanne,,Hollywood,25.99021,-80.1185,Entire home/apt,214,7,3,2017-02-02,0.03,1,272,0,
2057228,Lovely Room in Weston Florida Golf,10534063,Sandra,,Weston,26.11288,-80.36807,Private room,69,1,77,2022-12-04,0.71,2,349,24,
5215679,Beach-5min-HotTub-4 Ensuite Bathrooms-Heated Pool,25057846,Justin,,Fort Lauderdale,26.105465,-80.108528,Entire home/apt,841,1,24,2022-12-14,1.81,1,295,21,
5221521,Bimini Breeze Apt.3 - pool- beach,8556229,Ofir,,Pompano Beach,26.2358,-80.10071,Entire home/apt,95,2,99,2022-10-23,1.06,4,306,13,
4364138,Tropical Retreat - City Close,2042945,Tonya,,Miramar,25.96254,-80.31512,Private room,200,2,0,,,1,0,0,
4416835,Seabreeze Studio #6 - 4 Guests - Steps to Beach,17469794,Valerie,,Hollywood,26.0165,-80.11586,Entire home/apt,93,1,44,2022-10-05,0.47,33,261,3,
2108829,STUDIO ON THE BEACH OF FORT LAUDERDALE,10591425,Chris,,Fort Lauderdale,26.18015,-80.09637,Entire home/apt,243,4,58,2021-11-14,0.54,2,281,0,
4484576,BlueRoom in the ❤️ of Wilton Manors - Heated pool,3685146,Raazee And Daniel,,Wilton Manors,26.16101,-80.12848,Private room,89,1,604,2022-12-10,6.09,4,125,58,
5239045,Magnificent 6BR Canal Home - Villa Riverside Tiki!,9443719,Ida Annika,,Fort Lauderdale,26.14444,-80.10884,Entire home/apt,1899,2,78,2022-11-06,0.84,12,329,15,
2116588,Downtown Fort Lauderdale and Beaches-2401,10791649,Lena,,Fort Lauderdale,26.09111,-80.1884,Entire home/apt,330,4,165,2022-12-12,1.91,6,282,42,
5241603,Large room with private bathroom,26975461,Jason,,Miramar,25.99122,-80.27741,Private room,79,5,59,2022-04-09,0.63,5,58,2,
4490306,"Stay Warm on The Beach ""The Umbrella Drink""",6509464,Rich,,Hollywood,26.01734,-80.11672,Private room,150,5,51,2022-11-21,0.52,5,318,6,
4491593,Stay Warm on Hollywood Beach Studio,6509464,Rich,,Hollywood,26.01592,-80.1169,Private room,150,4,35,2022-11-15,0.36,5,337,9,
2177017,Pompano Beach House with Pool & Spa,6272954,Erica,,Margate,26.25055,-80.22174,Entire home/apt,526,7,73,2022-06-19,0.75,3,289,3,
4492175,RedRoom in the ❤️ of Wilton Manors - Heated pool,3685146,Raazee And Daniel,,Wilton Manors,26.15993,-80.12924,Private room,86,1,586,2022-12-08,5.91,4,126,62,
4494878,MIAMI- CHARMING 2 BDRM OCEANVIEW,637272,Bianca,,Hollywood,25.99362,-80.11729,Entire home/apt,270,30,15,2022-04-06,0.15,6,307,1,
5251709,Charming Private Villa - 1bedrm/1bath & kitchen,27053200,Jay And Madi,,Pompano Beach,26.23182,-80.10893,Entire home/apt,229,2,331,2022-12-11,3.45,1,342,28,
2195826,Room available in W. Pembroke Pines,11065578,Josephine,,Pembroke Pines,25.99378,-80.35631,Private room,33,14,24,2022-10-01,0.23,1,69,2,
5268379,Private entrance Pool yard bath & Room-Resort like,11885471,Pasunart,,Oakland Park,26.17452,-80.15354,Entire home/apt,92,3,341,2022-12-06,3.56,1,313,55,
4509621,Caribbean resort only 5 minute-drive to the Ocean,5221395,Yolande,,Hallandale Beach,25.98341,-80.15035,Entire home/apt,798,2,38,2022-12-12,0.43,3,266,19,
2209568,Oceanfront Building: On the Beach! Enjoy it!,11270841,Pablo,,Hollywood,25.9873,-80.11862,Entire home/apt,170,1,58,2022-12-17,0.60,1,105,15,
